id;name;description;category;currency;price;old_price;credit_price;discount_sum;discount_percent;url;image;brand;available;gtin;mpn;model;params
3561160000755;"adidas Originals Astir";"Лаконичный брендинг. Промежуточная подошва из EVA. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;7350;10490;;3140;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356116%2Fgy5260%2F;https://img.brandshop.ru/cache/products/g/gy5260-0_676x676.jpg;"adidas Originals";"in stock";;;Astir;"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, искусственная кожа; Подкладка - текстиль; Низ - резина|Размер:36.5 INT"
3561160000748;"adidas Originals Astir";"Лаконичный брендинг. Промежуточная подошва из EVA. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;7350;10490;;3140;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356116%2Fgy5260%2F;https://img.brandshop.ru/cache/products/g/gy5260-0_676x676.jpg;"adidas Originals";"in stock";;;Astir;"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, искусственная кожа; Подкладка - текстиль; Низ - резина|Размер:39.5 INT"
3561160000743;"adidas Originals Astir";"Лаконичный брендинг. Промежуточная подошва из EVA. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;7350;10490;;3140;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356116%2Fgy5260%2F;https://img.brandshop.ru/cache/products/g/gy5260-0_676x676.jpg;"adidas Originals";"in stock";;;Astir;"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, искусственная кожа; Подкладка - текстиль; Низ - резина|Размер:38 INT"
3561160000736;"adidas Originals Astir";"Лаконичный брендинг. Промежуточная подошва из EVA. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;7350;10490;;3140;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356116%2Fgy5260%2F;https://img.brandshop.ru/cache/products/g/gy5260-0_676x676.jpg;"adidas Originals";"in stock";;;Astir;"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, искусственная кожа; Подкладка - текстиль; Низ - резина|Размер:40.5 INT"
3561160000735;"adidas Originals Astir";"Лаконичный брендинг. Промежуточная подошва из EVA. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;7350;10490;;3140;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356116%2Fgy5260%2F;https://img.brandshop.ru/cache/products/g/gy5260-0_676x676.jpg;"adidas Originals";"in stock";;;Astir;"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, искусственная кожа; Подкладка - текстиль; Низ - резина|Размер:40 INT"
3561310000753;"adidas Originals Her Court";"Лаконичный брендинг. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;6790;9690;;2900;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356131%2Fgx3501%2F;https://img.brandshop.ru/cache/products/g/gx3501-0_676x676.jpg;"adidas Originals";"in stock";;;"Her Court";"Возраст:Взрослый|Цвет:розовый|Пол:Женский|Материал:Материал: Верх - кожа, текстиль; Подкладка - текстиль; Низ - резина|Размер:37.5 INT"
3561310000739;"adidas Originals Her Court";"Лаконичный брендинг. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;6790;9690;;2900;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356131%2Fgx3501%2F;https://img.brandshop.ru/cache/products/g/gx3501-0_676x676.jpg;"adidas Originals";"in stock";;;"Her Court";"Возраст:Взрослый|Цвет:розовый|Пол:Женский|Материал:Материал: Верх - кожа, текстиль; Подкладка - текстиль; Низ - резина|Размер:38.5 INT"
3561310000736;"adidas Originals Her Court";"Лаконичный брендинг. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;6790;9690;;2900;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356131%2Fgx3501%2F;https://img.brandshop.ru/cache/products/g/gx3501-0_676x676.jpg;"adidas Originals";"in stock";;;"Her Court";"Возраст:Взрослый|Цвет:розовый|Пол:Женский|Материал:Материал: Верх - кожа, текстиль; Подкладка - текстиль; Низ - резина|Размер:40.5 INT"
3561410000739;"adidas Originals Astir";"Лаконичный брендинг. Промежуточная подошва из EVA. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;6790;9690;;2900;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356141%2Fgw5370%2F;https://img.brandshop.ru/cache/products/g/gw5370-4_676x676.jpg;"adidas Originals";"in stock";;;Astir;"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, искусственная кожа; Подкладка - текстиль; Низ - резина|Размер:38.5 INT"
3561410000743;"adidas Originals Astir";"Лаконичный брендинг. Промежуточная подошва из EVA. Износостойкая подметка.";"Женская одежда и обувь > Женская обувь > Женские кроссовки";RUB;6790;9690;;2900;30;https://go.redav.online/daf9b288d23b2a31?dl=https%3A%2F%2Fbrandshop.ru%2Fgoods%2F356141%2Fgw5370%2F;https://img.brandshop.ru/cache/products/g/gw5370-4_676x676.jpg;"adidas Originals";"in stock";;;Astir;"Возраст:Взрослый|Цвет:чёрный|Пол:Женский|Материал:Материал: Верх - текстиль, искусственная кожа; Подкладка - текстиль; Низ - резина|Размер:38 INT"
